city,state
Mumbai,Mahārāshtra
Kolkāta,West Bengal
Delhi,Delhi
Chennai,Tamil Nādu
Bangalore,Karnātaka
Ahmedabad,Gujarāt
Pune,Mahārāshtra
Hyderābād,Telangāna
Sūrat,Gujarāt
Prayagraj,Uttar Pradesh
Kanpur,Uttar Pradesh
Belāhi,Bihār
Vadodara,Gujarāt
Nādampālaiyam,Tamil Nādu
Lucknow,Uttar Pradesh
Kannankulam,Kerala
Mahuākherāganj,Uttarākhand
Nagla,Uttarākhand
Jaipur,Rājasthān
Kottārasshēri,Kerala
Attadappa,Kerala
Barmhān Kalān,Madhya Pradesh
Gorakhpur,Chhattīsgarh
Nāgpur,Mahārāshtra
Guwāhāti,Assam
Ghāziābād,Uttar Pradesh
Coimbatore,Tamil Nādu
Patna,Bihār
Rājkot,Gujarāt
Vishākhapatnam,Andhra Pradesh
Indore,Madhya Pradesh
Abhepur,Punjab
Gumānwāla,Uttarākhand
Thāne,Mahārāshtra
Bhopāl,Madhya Pradesh
Āgra,Uttar Pradesh
Peyanvilai,Tamil Nādu
Pimpri-Chinchwad,Mahārāshtra
Saundhonwāli,Uttarākhand
Harbatpur,Uttarākhand
Ludhiāna,Punjab
Meerut,Uttar Pradesh
Madurai,Tamil Nādu
Nāsik,Mahārāshtra
Farīdābād,Haryāna
Madārpur,Bihār
Najafgarh,Delhi
Jabalpur,Madhya Pradesh
Kamalwaganja Gaur,Uttarākhand
Madanpur,Uttarākhand
Kalyān,Mahārāshtra
Āsansol,West Bengal
Vijayavāda,Andhra Pradesh
Vasai-Virar,Mahārāshtra
Vārānasi,Uttar Pradesh
Kalleli,Kerala
Srīnagar,Jammu and Kashmīr
Aurangābād,Mahārāshtra
Dhanbād,Jhārkhand
Amritsar,Punjab
Hāora,West Bengal
Rānchi,Jhārkhand
Gwalior,Madhya Pradesh
Jodhpur,Rājasthān
Chandīgarh,Chandīgarh
Raipur,Chhattīsgarh
Warangal,Telangāna
Kota,Rājasthān
Trichinopoly,Tamil Nādu
Gurgaon,Haryāna
Bhubaneshwar,Odisha
Bhayandar,Mahārāshtra
Narela,Delhi
Thiruvananthapuram,Kerala
Dispur,Assam
Sahāranpur,Uttar Pradesh
Āvadi,Tamil Nādu
Salem,Tamil Nādu
Kochi,Kerala
Guntūr,Andhra Pradesh
Jamshedpur,Jhārkhand
Raurkela,Odisha
Sūrappattu,Tamil Nādu
Loni,Uttar Pradesh
Ulhāsnagar,Mahārāshtra
Gaya,Bihār
Ambattūr,Tamil Nādu
Salt Lake City,West Bengal
Quilon,Kerala
Munro Turuttu,Kerala
Bhātpāra,West Bengal
Kākināda,Andhra Pradesh
Pānihāti,West Bengal
Brahmapur,Odisha
Rājahmundry,Andhra Pradesh
Muzaffarpur,Bihār
Kāmārhāti,West Bengal
Kulti,West Bengal
Oulgaret,Tamil Nādu
Yelahanka,Karnātaka
Darbhanga,Bihār
Chunchura,West Bengal
Imphāl,Manipur
Arrah,Bihār
Amarnāth,Mahārāshtra
Begusarai,Bihār
New Delhi,Delhi
Tiruvottiyūr,Tamil Nādu
Puducherry,Puducherry
Alleppey,Kerala
Katihār,Bihār
Alwāl,Telangāna
Wāpi,Gujarāt
Pallāvaram,Tamil Nādu
Secunderābād,Telangāna
Chāpra,Bihār
Kharagpur,West Bengal
Shimla,Himāchal Pradesh
Nāngloi Jāt,Delhi
Puri,Odisha
Baharampur,West Bengal
Murtazābād,Uttar Pradesh
Ittikara,Kerala
Dinapore,Bihār
Tambaram,Tamil Nādu
Shrīrāmpur,West Bengal
Hugli,West Bengal
Vypīn,Kerala
Mauli,Punjab
Chandannagar,West Bengal
Sultānpur Mazra,Delhi
Krishnanagar,West Bengal
Bārākpur,West Bengal
Bhālswa Jahangirpur,Delhi
Hājīpur,Bihār
Shillong,Meghālaya
Malkājgiri,Telangāna
Dehri,Bihār
Dalūpura,Delhi
Mandoli,Delhi
Balasore,Odisha
Baripāda,Odisha
Titāgarh,West Bengal
Dam Dam,West Bengal
Kaliānpur,Uttar Pradesh
Delhi Cantonment,Delhi
Khardah,West Bengal
Sītāmarhi,Bihār
Jamālpur,Bihār
Bānsbāria,West Bengal
Dhuliān,West Bengal
Tripunittura,Kerala
Brājarājnagar,Odisha
Baj Baj,West Bengal
Kalamasseri,Kerala
Siuri,West Bengal
Tamlūk,West Bengal
Poonamallee,Tamil Nādu
Nerkunram,Tamil Nādu
Tirupparangunram,Tamil Nādu
Damān,Dādra and Nagar Haveli and Damān and Diu
Diamond Harbour,West Bengal
Kendrāparha,Odisha
Mayyanād,Kerala
Pujali,West Bengal
Perunād,Kerala
Khagaul,Bihār
Edappalli,Kerala
Mannanchōri,Kerala
Dharampur,Haryāna
Sānkrāil,West Bengal
Kantai,Bihār
Nāsriganj,Bihār
Elangunnapuzha,Kerala
Dalsingh Sarai,Bihār
Pānchla,West Bengal
Vayakkalattu,Kerala
Koelwār,Bihār
Bāruni,Bihār
Kola,West Bengal
Sāhibpur Kamāl,Bihār
Ayirūrpāra,Kerala
Edavanakad,Kerala
Mahārājgani,Bihār
Madangir,Delhi
Madappalli,Kerala
Mūlampilli,Kerala
Peringuzha,Kerala
Pāmpur,Jammu and Kashmīr
Kānke,Jhārkhand
Rāja Pākar,Bihār
Palliman,Kerala
Kandakkadava,Kerala
Sohāna,Punjab
Khizrpur,Punjab
Anghad,Gujarāt
Oruvadālkotta,Kerala
Dumra,Bihār
Perunturuttu,Kerala
Dumjor,West Bengal
Mannara,Kerala
Ulao,Bihār
Vandalūr,Tamil Nādu
Lakhnaur,Bihār
Cherakara,Kerala
Usmānpur,Jhārkhand
Khusropur,Bihār
Valavakāttumūla,Kerala
Tillor Khurd,Madhya Pradesh
Garhpura,Bihār
Tonakkal,Kerala
Jamira,Bihār
Dundigal,Telangāna
Ayodhyāpattanam,Tamil Nādu
Neykkārappatti,Tamil Nādu
Bandlagūda,Telangāna
Bakhtāwarpur,Delhi
Desri,Bihār
Mugalivakkam,Tamil Nādu
Khānpur,Bihār
Perumbakkam,Tamil Nādu
Pākkam,Tamil Nādu
Manappakkam,Tamil Nādu
Akola,Uttar Pradesh
Chhabila,Bihār
Bāgnān,West Bengal
Nao Kothi,Bihār
Nīrkunnam,Kerala
Panamarattuppatti,Tamil Nādu
Begampur,West Bengal
Nipania,Bihār
Bhawānīpur,Bihār
Perumbalam,Kerala
Masar,Bihār
Kondaparti,Telangāna
Hesarghatta,Karnātaka
Māmidipalli,Telangāna
Bommayapālaiyam,Tamil Nādu
Kampel,Madhya Pradesh
Mahadipur,West Bengal
Gundūr,Tamil Nādu
Pachrukhi,Bihār
Mannivakkam,Tamil Nādu
Palāsgāchi,West Bengal
Singhaul,Bihār
Raghunandanpur,West Bengal
Harilādih,Jhārkhand
Pahleza,Bihār
Mādnāikanhalli,Karnātaka
Bhabāt,Punjab
Pithauriā,Jhārkhand
Hilora,West Bengal
Mevalūrkuppam,Tamil Nādu
Bāgalūr,Karnātaka
Pālavedu,Tamil Nādu
Kismatpur,Telangāna
Kādiganahalli,Karnātaka
Ballālpur,West Bengal
Narpatnagar,Bihār
Dhanas,Chandīgarh
Jājigrām,West Bengal
Imamnagar,West Bengal
Mogalcherla,Telangāna
Vīrapāndi,Tamil Nādu
Sahdai Buzurg,Bihār
Valasaiyūr,Tamil Nādu
Jogta,Bihār
Shivni,Madhya Pradesh
Daryāpur Kalān,Delhi
Sakhara,Bihār
Hasanpur,Bihār
Dīgnagar,West Bengal
Gangauli,Bihār
Giddha,Bihār
Valaiyankulam,Tamil Nādu
Muria,Bihār
Pīpalda,Madhya Pradesh
Sītānagaram,Andhra Pradesh
Kūttambākkam,Tamil Nādu
Kambarasampettai,Tamil Nādu
Sukkainpatti,Tamil Nādu
Bayandhalli,Karnātaka
Bahlolpur,Chandīgarh
Sondekoppa,Karnātaka
Manauli,Punjab
Parappatti,Tamil Nādu
Vellānūr,Tamil Nādu
Sursi,Gujarāt
Babura,Bihār
Pātacudapah,Andhra Pradesh
Mādavar,Karnātaka
Kadabgeri,Karnātaka
Keshopur,Bihār
Basavanhalli,Karnātaka
Putlampalle,Andhra Pradesh
Manchirevula,Telangāna
Tippampatti,Tamil Nādu
Nanmangalam,Tamil Nādu
Tildānga,West Bengal
Togān,Chandīgarh
Ambāpuram,Andhra Pradesh
Gobardhanpur,Bihār
Kair,Delhi
Pallippatti,Tamil Nādu
Kumbalam,Kerala
Sonnappanhalli,Karnātaka
Chanditala,West Bengal
Agaram,Tamil Nādu
Pātapādu,Andhra Pradesh
Andauli,Bihār
Pallappatti,Tamil Nādu
Baniara,West Bengal
Doddajīvanhalli,Karnātaka
Kolapakkam,Tamil Nādu
Permi,Madhya Pradesh
Kūllampatti,Tamil Nādu
Gorwa,Gujarāt
Diālpura,Punjab
Kasiām,Bihār
Takkolu,Andhra Pradesh
Panaiyūr,Tamil Nādu
Bhainsaha,Bihār
Deuriya,Bihār
Solankuruni,Tamil Nādu
Mamnoli,Mahārāshtra
Jālādipur,West Bengal
Berkap,Bihār
Wattināgulapalli,Telangāna
Himāyatsāgar,Telangāna
Huttanhalli,Karnātaka
Suara,Bihār
Dahāur,Bihār
Katār,Bihār
Sotur,Jammu and Kashmīr
Vājarhalli,Karnātaka
Cāchohalli,Karnātaka
Kasgatpur,Karnātaka
Rānipur,West Bengal
Bhagwānpur,Bihār
Gāgilāpur,Telangāna
Kitanelli,Karnātaka
Bartala,West Bengal
Tendua Dusādhi,Bihār
Sikdārpur,West Bengal
Dhurali,Punjab
Chinnanūr,Tamil Nādu
Bendravādi,Karnātaka
Nedumadurai,Tamil Nādu
Kodagihalli,Karnātaka
Mota Mazra,Punjab
Mailanhalli,Karnātaka
Bhagwatpur Patera,Bihār
Jotsema,Nāgāland