city,state,station,latitude,longitude,pollution_date,year,month,quarter,season,pm25,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket,source
Mandikhera,,"General Hospital, Mandikhera(Nuh) - HSPCB",27.9002,76.9938,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,51,79,,15,,8,33,21,48,,,,,,Realtime
Manesar,,"Sector-2 IMT, Manesar - HSPCB",28.360699,76.93609,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,79,79,,41,,15,10,8,22,,,,,,Realtime
Narnaul,,"Shastri Nagar, Narnaul - HSPCB",28.060249,76.113115,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,120,94,,21,,8,12,10,28,,,,,,Realtime
Palwal,,"Shyam Nagar, Palwal - HSPCB",28.1485564,77.3320667,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,38,69,,24,,8,40,24,16,,,,,,Realtime
Panchgaon,,"Amity University, Panchgaon - IITM",28.3153,76.9143,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,31,31,,26,,18,30,7,42,,,,,,Realtime
Panchkula,,"Sector-6, Panchkula - HSPCB",30.7057778,76.8531805555555,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,35,,,24,,,19,11,24,,,,,,Realtime
Srinagar,,"Rajbagh, Srinagar - JKPCC",34.066206,74.81982,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,38,,19,,9,17,3,2,,,,,,Realtime
Dhanbad,,"Sardar Patel Nagar, Dhanbad - JSPCB",23.80569,86.44268,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,74,,103,,,8,,24,,,,,,Realtime
Jorapokhar,,"Tata Stadium, Jorapokhar - JSPCB",23.707909,86.41467,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,49,113,,8,,3,40,4,7,,,,,,Realtime
Bagalkot,,"Vidayagiri, Bagalkot - KSPCB",16.172806,75.659694,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,32,51,,10,,1,23,10,18,,,,,,Realtime
Bengaluru,,"Silk Board, Bengaluru - KSPCB",12.917348,77.622813,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,75,,9,,3,,1,19,,,,,,Realtime
Bengaluru,,"BTM Layout, Bengaluru - CPCB",12.9135218,77.5950804,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,28,49,,24,,4,47,19,25,,,,,,Realtime
Bengaluru,,"Hombegowda Nagar, Bengaluru - KSPCB",12.938539,77.5901,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,23,38,,18,,1,10,5,29,,,,,,Realtime
Bengaluru,,"Jayanagar 5th Block, Bengaluru - KSPCB",12.920984,77.584908,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,35,47,,7,,1,18,22,45,,,,,,Realtime
Yadgir,,"Collector Office, Yadgir - KSPCB",16.7602,77.1428,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,3,,16,,,,,,Realtime
Kannur,,"Thavakkara, Kannur - Kerala PCB",11.875,75.3732,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,50,56,,13,,1,11,2,28,,,,,,Realtime
Kollam,,"Polayathode, Kollam - Kerala PCB",8.8787,76.6073,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,44,49,,9,,1,16,3,34,,,,,,Realtime
Thiruvananthapuram,,"Kariavattom, Thiruvananthapuram - Kerala PCB",8.5637,76.8865,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,42,63,,6,,0,22,7,31,,,,,,Realtime
Thrissur,,"Corporation Ground, Thrissur - Kerala PCB",10.5324,76.2159,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,19,,29,,,,,,Realtime
Bhopal,,"Paryavaran Parisar, Bhopal - MPPCB",23.210494,77.425409,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,31,59,,13,,5,12,32,22,,,,,,Realtime
Panipat,,"Sector-18, Panipat - HSPCB",29.432304,76.972765,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,38,62,,7,,10,39,50,30,,,,,,Realtime
Sonipat,,"Murthal, Sonipat - HSPCB",29.0272,77.0621,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,35,,70,,,,,,Realtime
Yamuna Nagar,,"Gobind Pura, Yamuna Nagar - HSPCB",30.1480566,77.2893471,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,15,,67,,,,,,Realtime
Baddi,,"HIMUDA Complex Phase-1, Baddi - HPPCB",30.943887,76.801991,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,56,120,,17,,8,52,17,12,,,,,,Realtime
Pampore,,"Khrew, Pampore - JKPCC",34.031606,75.009712,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,26,37,,,,,,0,,,,,,,Realtime
Kalaburagi,,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",17.336318,76.847397,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,25,33,,14,,2,29,3,14,,,,,,Realtime
Karwar,,"KHB Colony, Karwar - KSPCB",14.816666,74.141003,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,46,52,,26,,4,33,19,17,,,,,,Realtime
Koppal,,"Diwator Nagar, Koppal - KSPCB",15.34763,76.181767,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,25,,31,,8,19,14,6,,,,,,Realtime
Mangalore,,"Kadri, Mangalore - KSPCB",12.88925,74.853,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,52,67,,3,,1,,,37,,,,,,Realtime
Bengaluru,,"Kasturi Nagar, Bengaluru - KSPCB",13.003872,77.664217,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,103,74,,28,,5,51,16,26,,,,,,Realtime
Bengaluru,,"Sanegurava Halli, Bengaluru - KSPCB",12.990328,77.5431385,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,54,,18,,,17,6,,,,,,,Realtime
Bengaluru,,"Jigani, Bengaluru - KSPCB",12.7816279,77.6299145,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,40,53,,24,,4,39,18,29,,,,,,Realtime
Bengaluru,,"Bapuji Nagar, Bengaluru - KSPCB",12.951913,77.539784,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,36,,26,,3,34,28,30,,,,,,Realtime
Chamarajanagar,,"Urban, Chamarajanagar - KSPCB",11.55358,76.55521,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,32,45,,27,,2,24,4,27,,,,,,Realtime
Mysuru,,"Hebbal 1st Stage, Mysuru - KSPCB",12.21041,76.37376,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,21,63,,21,,5,20,4,27,,,,,,Realtime
Ramanagara,,"Vijay Nagar, Ramanagara - KSPCB",12.733409,77.298051,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,26,33,,,,,24,19,31,,,,,,Realtime
Shivamogga,,"Vinoba Nagara, Shivamogga - KSPCB",13.94,75.555917,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,28,42,,24,,3,22,4,45,,,,,,Realtime
Vijayapura,,"Ibrahimpur, Vijayapura - KSPCB",16.802639,75.722694,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,43,,11,,4,23,3,16,,,,,,Realtime
Bhopal,,"Idgah Hills, Bhopal - MPPCB",23.264759,77.381568,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,43,103,,17,,3,5,5,16,,,,,,Realtime
Gwalior,,"Maharaj Bada, Gwalior - MPPCB",26.200388,78.147714,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,45,58,,39,,1,70,,45,,,,,,Realtime
Gwalior,,"Deen Dayal Nagar, Gwalior - MPPCB",26.259242,78.216432,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,77,91,,21,,8,58,6,59,,,,,,Realtime
Gwalior,,"City Center, Gwalior - MPPCB",26.203442,78.193251,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,40,37,,17,,5,35,15,46,,,,,,Realtime
Indore,,"Regional Park, Indore - IMC",22.678,75.8559,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,33,38,,,,,91,35,5,,,,,,Realtime
Indore,,"Maguda Nagar, Indore - IMC",22.7524,75.8872,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,34,36,,3,,,20,19,12,,,,,,Realtime
Jabalpur,,"Marhatal, Jabalpur - MPPCB",23.168606,79.932247,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,30,55,,23,,1,41,9,38,,,,,,Realtime
Mumbai,,"Bandra Kurla Complex, Mumbai - MPCB",19.065931,72.862131,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,33,52,,2,,1,26,3,15,,,,,,Realtime
Mumbai,,"Shivaji Nagar, Mumbai - BMC",19.060498,72.923356,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,32,49,,14,,5,18,2,6,,,,,,Realtime
Mumbai,,"Malad West, Mumbai - IITM",19.19709,72.82204,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,25,74,,19,,3,49,15,5,,,,,,Realtime
Mumbai,,"Mazgaon, Mumbai - IITM",18.96702,72.84214,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,35,70,,13,,2,26,12,14,,,,,,Realtime
Mumbai,,"Chembur, Mumbai - MPCB",19.0364585,72.8954371,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,26,72,,10,,12,16,8,10,,,,,,Realtime
Mumbai,,"Deonar, Mumbai - IITM",19.04946,72.923,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,107,,5,,12,71,3,14,,,,,,Realtime
Mumbai,,"Chakala-Andheri East, Mumbai - IITM",19.11074,72.86084,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,58,,11,,17,2,3,11,,,,,,Realtime
Mumbai,,"Kandivali West, Mumbai - BMC",19.215859,72.831718,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,25,34,,15,,2,10,1,11,,,,,,Realtime
Nagpur,,"Mahal, Nagpur - MPCB",21.14472,79.107595,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,34,65,,14,,4,27,8,11,,,,,,Realtime
Nagpur,,"Ambazari, Nagpur - MPCB",21.121801,79.04952,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,28,41,,11,,2,22,5,14,,,,,,Realtime
Akola,,"Ramdaspeth, Akola - MPCB",20.719516,77.000253,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,32,46,,11,,8,18,5,41,,,,,,Realtime
Amravati,,"Shri Shivaji Science College, Amravati - MPCB",20.939198,77.765701,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,28,49,,5,,5,20,4,16,,,,,,Realtime
Amravati,,"Shivneri Colony, Amravati - MPCB",20.9402359,77.7895248,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,31,53,,7,,2,14,10,13,,,,,,Realtime
Aurangabad,,"More Chowk Waluj, Aurangabad - MPCB",19.8389439,75.244448,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,50,50,,10,,7,42,30,19,,,,,,Realtime
Aurangabad,,"MIDC Chilkalthana, Aurangabad - MPCB",19.87562,75.38731,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,143,,,,,26,7,30,,,,,,Realtime
Aurangabad,,"Rachnakar Colony, Aurangabad - MPCB",19.863756,75.321188,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,136,89,,20,,2,30,4,21,,,,,,Realtime
Beed,,"Bir, Beed - MPCB",18.988474,75.753873,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,41,105,,12,,2,23,2,17,,,,,,Realtime
Belapur,,"CBD Belapur, Belapur - MPCB",19.0243902,73.0406721,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,40,59,,19,,4,27,4,6,,,,,,Realtime
Navi Mumbai,,"Tondare-Taloja, Navi Mumbai - MPCB",19.063,73.1209,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,34,64,,6,,7,7,2,1,,,,,,Realtime
Navi Mumbai,,"Kopripada-Vashi, Navi Mumbai - MPCB",19.090337,73.014232,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,52,,13,,11,22,2,32,,,,,,Realtime
Parbhani,,"Masoom Colony, Parbhani - MPCB",19.265594,76.761463,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,35,50,,37,,4,11,2,7,,,,,,Realtime
Pimpri-Chinchwad,,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",18.614767,73.799516,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,22,67,,24,,,28,,9,,,,,,Realtime
Pimpri-Chinchwad,,"Bhosari, Pune - IITM",18.640051,73.848956,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,32,77,,25,,,30,,6,,,,,,Realtime
Pimpri-Chinchwad,,"Gavalinagar, Pimpri Chinchwad - MPCB",18.63673,73.82487,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,37,59,,7,,1,11,1,13,,,,,,Realtime
Pimpri-Chinchwad,,"Transport Nagar-Nigdi, Pune - IITM",18.664282,73.763966,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,20,,,16,,,41,,11,,,,,,Realtime
Pimpri-Chinchwad,,"Thergaon, Pimpri Chinchwad - MPCB",18.616318,73.765797,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,59,71,,10,,6,52,2,16,,,,,,Realtime
Pimpri-Chinchwad,,"Park Street Wakad, Pimpri Chinchwad - MPCB",18.59051,73.77946,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,44,59,,12,,,12,1,14,,,,,,Realtime
Maihar,,"Sahilara, Maihar - KJS Cements",24.2613009,80.7231783,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,37,,59,,,21,10,,,,,,,Realtime
Mandideep,,"Sector-D Industrial Area, Mandideep - MPPCB",23.10844,77.511428,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,52,96,,29,,10,20,6,32,,,,,,Realtime
Ratlam,,"Shasthri Nagar, Ratlam - IPCA Lab",23.331731,75.045981,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,39,,,36,,,,23,,,,,,,Realtime
Sagar,,"Civil Lines, Sagar - MPPCB",23.838586,78.759431,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,41,56,,5,,4,32,6,30,,,,,,Realtime
Satna,,"Bandhavgar Colony, Satna - Birla Cement",24.58434363,80.8549414,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,50,70,,13,,,17,18,59,,,,,,Realtime
Ujjain,,"Mahashweta Nagar, Ujjain - MPPCB",23.1633321,75.800225,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,42,58,,6,,6,20,4,55,,,,,,Realtime
Ahmednagar,,"Tarakpur, Ahmednagar - MPCB",19.10122,74.73339,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,32,68,,9,,7,11,10,30,,,,,,Realtime
Nagpur,,"Ram Nagar, Nagpur - MPCB",21.143383,79.048912,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,33,45,,8,,5,10,4,11,,,,,,Realtime
Nagpur,,"Opp GPO Civil Lines, Nagpur - MPCB",21.152875,79.0517531,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,31,49,,16,,5,49,4,7,,,,,,Realtime
Nashik,,"Gangapur Road, Nashik - MPCB",20.0073285,73.7762427,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,45,47,,5,,3,22,3,15,,,,,,Realtime
Nashik,,"Pandav Nagari, Nashik - MPCB",19.9591346,73.7788008,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,26,43,,4,,1,14,2,15,,,,,,Realtime
Nashik,,"Hirawadi, Nashik - MPCB",20.021503,73.813844,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,28,,19,,,,,,Realtime
Navi Mumbai,,"Nerul, Navi Mumbai - MPCB",19.008751,73.01662,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,22,,,9,,1,,,,,,,,,Realtime
Navi Mumbai,,"Sanpada, Navi Mumbai - MPCB",19.0575752,73.0151367,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,31,46,,5,,3,7,4,22,,,,,,Realtime
Navi Mumbai,,"Mahape, Navi Mumbai - MPCB",19.1135051,73.008978,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,32,71,,43,,1,,17,7,,,,,,Realtime
Pune,,"Revenue Colony-Shivajinagar, Pune - IITM",18.530085,73.849598,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,18,42,,15,,,15,15,16,,,,,,Realtime
Pune,,"Dhankawadi, Pune - IITM",18.459883,73.852193,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,28,55,,18,,,50,,4,,,,,,Realtime
Pune,,"Hadapsar, Pune - IITM",18.501793,73.927532,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,64,,15,,,,,,Realtime
Pune,,"Mhada Colony, Pune - IITM",18.57304,73.927715,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,40,60,,26,,,53,,13,,,,,,Realtime
Pune,,"Katraj Dairy, Pune - MPCB",18.45445,73.854155,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,17,,40,,,,,,Realtime
Pune,,"Panchawati_Pashan, Pune - IITM",18.536457,73.805454,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,31,59,,8,,,31,,5,,,,,,Realtime
Pune,,"Savitribai Phule Pune University, Pune - MPCB",18.547056,73.826908,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,19,32,,7,,1,30,4,12,,,,,,Realtime
Latur,,"Sawe Wadi, Latur - MPCB",18.39963,76.57452,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,30,,13,,4,20,4,19,,,,,,Realtime
Mahad,,"Kamble Tarf Birwadi, Mahad - MPCB",18.1023399,73.4783687,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,51,80,,16,,5,23,15,31,,,,,,Realtime
Mumbai,,"Sewri, Mumbai - BMC",19.000084,72.85673,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,21,,14,,,,,,Realtime
Mumbai,,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.10078,72.87462,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,26,,0,,7,,,,,,,Realtime
Mumbai,,"Navy Nagar-Colaba, Mumbai - IITM",18.897756,72.81332,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,38,91,,97,,8,19,7,22,,,,,,Realtime
Mumbai,,"Ghatkopar, Mumbai - BMC",19.083694,72.920967,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,23,88,,5,,4,22,1,30,,,,,,Realtime
Mumbai,,"Kurla, Mumbai - MPCB",19.0863,72.8888,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,17,,28,,,,,,Realtime
Mumbai,,"Siddharth Nagar-Worli, Mumbai - IITM",19.000083,72.813993,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,29,96,,21,,2,2,,9,,,,,,Realtime
Mumbai,,"Khindipada-Bhandup West, Mumbai - IITM",19.1653323,72.922099,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,96,,,,,6,18,3,,,,,,Realtime
Mumbai,,"Worli, Mumbai - MPCB",18.9936162,72.8128113,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,62,89,,10,,,28,3,5,,,,,,Realtime
Boisar,,"Khaira, Boisar - MPCB",19.786089,72.757971,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,47,63,,22,,5,7,16,0,,,,,,Realtime
Chandrapur,,"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,21,37,,13,,2,39,9,23,,,,,,Realtime
Dhule,,"Deopur, Dhule - MPCB",20.918946,74.776388,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,33,65,,9,,2,16,2,10,,,,,,Realtime
Jalgaon,,"Prabhat Colony, Jalgaon - MPCB",21.001264,75.565602,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,65,,14,,3,42,1,30,,,,,,Realtime
Kolhapur,,"Sinchan Bhavan, Kolhapur - MPCB",16.7143745,74.2426398,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,30,,17,,2,19,1,26,,,,,,Realtime
Bhubaneswar,,"Patia, Bhubaneswar - OSPCB",20.34652,85.8163,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,38,69,,8,,2,52,8,39,,,,,,Realtime
Bileipada,,"Tata Township, Bileipada - OSPCB",22.06156703,85.47409613,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,48,94,,16,,5,23,15,15,,,,,,Realtime
Byasanagar,,"Ferro Chrome Colony, Byasanagar - OSPCB",20.94185,86.1151,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,66,,9,,1,41,6,37,,,,,,Realtime
Cuttack,,"CDA Area, Cuttack - OSPCB",20.48891,85.84768,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,51,90,,11,,11,26,5,48,,,,,,Realtime
Keonjhar,,"Jagamohanpur, Keonjhar - OSPCB",21.6439,85.599355,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,49,,13,,2,35,14,18,,,,,,Realtime
Rairangpur,,"Divisional Forest Office, Rairangpur - OSPCB",22.265816,86.174829,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,15,51,,6,,3,6,7,8,,,,,,Realtime
Rourkela,,"Raghunathpali, Rourkela - OSPCB",22.220833,84.809444,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,19,73,,15,,2,28,6,11,,,,,,Realtime
Rourkela,,"Fertilizer Township, Rourkela - OSPCB",22.18972222,84.86277778,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,67,57,,11,,,16,11,,,,,,,Realtime
Suakati,,"OMC Colony, Suakati - OSPCB",21.606865,85.510538,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,37,85,,18,,3,8,4,16,,,,,,Realtime
Talcher,,"Talcher Coalfields,Talcher - OSPCB",20.9360711,85.1707021,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,58,,46,,7,34,28,14,,,,,,Realtime
Tensa,,"Barsua Iron Ore Mines, Tensa - OSPCB",21.869985,85.167016,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,14,28,,,,,29,33,15,,,,,,Realtime
Puducherry,,"Jawahar Nagar, Puducherry - PPCC",11.9309,79.8027,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,20,30,,12,,4,17,8,49,,,,,,Realtime
Amritsar,,"Golden Temple, Amritsar - PPCB",31.62,74.876512,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,106,109,,16,,7,26,14,24,,,,,,Realtime
Bathinda,,"Hardev Nagar, Bathinda - PPCB",30.233011,74.907758,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,7,14,,10,,,62,16,,,,,,,Realtime
Khanna,,"Kalal Majra, Khanna - PPCB",30.736056,76.209694,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,40,67,,28,,7,53,16,36,,,,,,Realtime
Patiala,,"Model Town, Patiala - PPCB",30.349388,76.366642,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,31,44,,17,,6,10,10,51,,,,,,Realtime
