city,state,station,latitude,longitude,pollution_date,year,month,quarter,season,pm25,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket,source
Rupnagar,,"Ratanpura, Rupnagar - Ambuja Cements",31.0325454,76.5623046,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,71,49,,26,,,54,12,,,,,,,Realtime
Shillong,,"Lumpyngngad, Shillong - Meghalaya PCB",25.5586,91.8985,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,0,,0,9,11,24,,,,,,Realtime
Aizawl,,"Sikulpuikawn, Aizawl - Mizoram PCB",23.7176342,92.7192841,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,1,,0,3,14,6,,,,,,Realtime
Kohima,,"PWD Junction, Kohima - NPCB",25.6635413,94.0989878,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,12,11,,3,,1,5,47,,,,,,,Realtime
Angul,,"Hakimapada, Angul - OSPCB",20.832874,85.104082,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,39,89,,10,,3,54,13,34,,,,,,Realtime
Balasore,,"Kalidaspur, Balasore - OSPCB",21.51161,86.89088,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,41,71,,11,,5,44,5,28,,,,,,Realtime
Barbil,,"Forest Office, Barbil - OSPCB",22.1166054,85.3945546,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,29,55,,4,,2,9,6,21,,,,,,Realtime
Bhubaneswar,,"Lingraj Mandir, Bhubaneswar - OSPCB",20.24079,85.836784,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,17,19,,9,,4,43,5,70,,,,,,Realtime
Jaipur,,"Shastri Nagar, Jaipur - RSPCB",26.9502929,75.730943,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,65,65,,36,,8,46,12,46,,,,,,Realtime
Jaisalmer,,"Sadar Bazar, Jaisalmer - RSPCB",26.912329,70.909168,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,66,148,,9,,,16,4,17,,,,,,Realtime
Jalore,,"Mudtra Sili, Jalore - RSPCB",25.344694,72.626208,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,52,103,,9,,4,21,3,49,,,,,,Realtime
Jhalawar,,"Rajlaxmi Nagar, Jhalawar - RSPCB",24.588397,76.172782,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,67,79,,28,,,20,6,21,,,,,,Realtime
Jhunjhunu,,"Indra Nagar, Jhunjhunu - RSPCB",28.108988,75.386577,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,18,46,,11,,11,17,3,96,,,,,,Realtime
Jodhpur,,"Collectorate, Jodhpur - RSPCB",26.268249,73.0193853,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,58,84,,18,,5,54,8,30,,,,,,Realtime
Jodhpur,,"Digari Kalan, Jodhpur - RSPCB",26.29581,73.082283,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,37,77,,16,,,13,2,54,,,,,,Realtime
Bundi,,"New Colony, Bundi - RSPCB",25.435774,75.644272,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,33,72,,38,,8,11,4,37,,,,,,Realtime
Chittorgarh,,"Shastri Nagar, Chittorgarh - RSPCB",24.892047,74.623527,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,70,93,,14,,,3,4,61,,,,,,Realtime
Churu,,"Subash Chowk, Churu - RSPCB",28.296139,74.961696,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,12,92,,7,,7,19,4,54,,,,,,Realtime
Dholpur,,"Raja Ganj, Dholpur - RSPCB",26.699557,77.898881,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,171,110,,8,,8,39,7,39,,,,,,Realtime
Dungarpur,,"Bhoiwada, Dungarpur - RSPCB",23.837789,73.714926,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,58,55,,2,,,21,5,39,,,,,,Realtime
Jaipur,,"Sector-2 Murlipura, Jaipur - RSPCB",26.960669,75.771817,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,40,88,,24,,8,50,3,27,,,,,,Realtime
Thane,,"Kasarvadavali, Thane - MPCB",19.26777,72.97182,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,34,67,,12,,2,12,4,25,,,,,,Realtime
Thane,,"Upvan Fort, Thane - MPCB",19.222279,72.957979,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,25,43,,14,,3,13,1,31,,,,,,Realtime
Ulhasnagar,,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB",19.235581,73.159121,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,40,55,,23,,7,20,3,28,,,,,,Realtime
Ulhasnagar,,"Vithalwadi, Ulhasnagar - MPCB",19.2307571,73.155192,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,71,99,,12,,1,15,2,14,,,,,,Realtime
Virar,,"Bolinj, Virar - MPCB",19.445821,72.7988231,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,37,,23,,,,,,Realtime
Byrnihat,,"Tamulikuchi, Byrnihat - Meghalaya PCB",26.079047,91.875185,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,32,,,,,,,,Realtime
Jodhpur,,"Samrat Ashok Udhyan, Jodhpur - RSPCB",26.253384,72.976571,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,53,91,,7,,5,15,4,28,,,,,,Realtime
Kota,,"Shrinath Puram, Kota - RSPCB",25.14389,75.821256,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,61,67,,14,,7,28,8,10,,,,,,Realtime
Kota,,"Dhanmandi, Kota - RSPCB",25.16409,75.858137,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,46,71,,19,,4,25,4,32,,,,,,Realtime
Nagaur,,"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,33,57,,5,,6,15,3,25,,,,,,Realtime
Pali,,"Indira Colony Vistar, Pali - RSPCB",25.771061,73.340227,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,86,115,,24,,6,22,12,37,,,,,,Realtime
Pratapgarh,,"Pragati Nagar, Pratapgarh - RSPCB",24.041198,74.780702,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,60,81,,9,,2,20,2,51,,,,,,Realtime
Rajsamand,,"Dhoinda, Rajsamand - RSPCB",25.03636,73.883502,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,65,88,,7,,,15,7,66,,,,,,Realtime
Sawai Madhopur,,"Sahu Nagar, Sawai Madhopur - RSPCB",26.031443,76.359327,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,28,67,,12,,,26,4,53,,,,,,Realtime
Sikar,,"Radhakishan Pura, Sikar - RSPCB",27.608912,75.153302,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,67,92,,11,,12,19,3,68,,,,,,Realtime
Sirohi,,"Vedhaynath Colony, Sirohi - RSPCB",24.885261,72.857549,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,108,,7,,6,8,5,18,,,,,,Realtime
Ajmer,,"Civil Lines,  Ajmer - RSPCB",26.470859,74.646594,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,62,95,,34,,7,27,,27,,,,,,Realtime
Barmer,,"Railway Colony, Barmer - RSPCB",25.747299,71.393989,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,46,137,,9,,4,15,3,50,,,,,,Realtime
Bhilwara,,"Pratap Nagar, Bhilwara - RSPCB",25.339605,74.618883,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,68,99,,18,,13,49,9,39,,,,,,Realtime
Bhiwadi,,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB",28.207266,76.829265,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,46,,17,,8,20,16,33,,,,,,Realtime
Tonk,,"Shastri Nagar, Tonk - RSPCB",26.159933,75.780517,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,48,68,,2,,4,33,2,52,,,,,,Realtime
Udaipur,,"Ashok Nagar, Udaipur - RSPCB",24.5886166,73.6321397,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,105,79,,15,,6,33,10,8,,,,,,Realtime
Gangtok,,"Zero Point GICI, Gangtok - SSPCB",27.33853,88.614099,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,8,,1,6,1,23,,,,,,Realtime
Chennai,,"Kodungaiyur, Chennai - TNPCB",13.1278,80.2642,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,51,73,,13,,4,29,6,29,,,,,,Realtime
Chennai,,"Manali Village, Chennai - TNPCB",13.1662,80.2584,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,,,15,,3,38,16,77,,,,,,Realtime
Chennai,,"Manali, Chennai - CPCB",13.164544,80.26285,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,36,66,,10,,6,33,10,9,,,,,,Realtime
Chennai,,"Arumbakkam, Chennai - TNPCB",13.0664,80.2112,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,32,84,,21,,5,,1,,,,,,,Realtime
Chennai,,"Velachery Res. Area, Chennai - CPCB",13.0052189,80.2398125,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,,,10,,,,,,Realtime
Coimbatore,,"SIDCO Kurichi, Coimbatore - TNPCB",10.942451,76.978996,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,37,13,,23,,1,12,26,20,,,,,,Realtime
Jhansi,,"Shivaji Nagar, Jhansi - UPPCB",25.4547,78.6039,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,55,60,,6,,4,9,20,7,,,,,,Realtime
Kanpur,,"Nehru Nagar, Kanpur - UPPCB",26.4703136,80.3229863,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,12,11,,47,,,52,12,5,,,,,,Realtime
Kanpur,,"NSI Kalyanpur, Kanpur - UPPCB",26.509954,80.249612,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,15,35,,31,,2,27,23,21,,,,,,Realtime
Kanpur,,"FTI Kidwai Nagar, Kanpur - UPPCB",26.428282,80.327067,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,28,,27,,3,34,17,11,,,,,,Realtime
Khurja,,"Kalindi Kunj, Khurja - UPPCB",28.2348927,77.8683002,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,13,,,12,,1,40,10,28,,,,,,Realtime
Lucknow,,"Kendriya Vidyalaya, Lucknow - CPCB",26.906111,80.948222,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,30,31,,29,,10,28,7,43,,,,,,Realtime
Lucknow,,"Kukrail Picnic Spot-1, Lucknow - UPPCB",26.90723,80.98579,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,30,27,,32,,6,15,7,40,,,,,,Realtime
Lucknow,,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,14,13,,9,,,38,13,40,,,,,,Realtime
Lucknow,,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,36,40,,23,,9,35,15,50,,,,,,Realtime
Gummidipoondi,,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",13.4127,80.1081,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,118,98,,20,,1,,20,,,,,,,Realtime
Madurai,,"Uchapatti, Madurai - TNPCB",9.865935,78.022669,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,73,,,,9,22,53,1,,,,,,Realtime
Thoothukudi,,"Meelavittan, Thoothukudi - TNPCB",8.816428,78.099039,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,58,,15,,,29,10,32,,,,,,Realtime
Hyderabad,,"Ramachandrapuram, Hyderabad - TSPCB",17.528544,78.286195,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,34,57,,13,,3,22,15,26,,,,,,Realtime
Hyderabad,,"IDA Pashamylaram, Hyderabad - TSPCB",17.5316895,78.218939,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,20,38,,25,,1,15,12,22,,,,,,Realtime
Hyderabad,,"ICRISAT Patancheru, Hyderabad - TSPCB",17.5184,78.278777,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,18,32,,9,,2,17,5,26,,,,,,Realtime
Hyderabad,,"Somajiguda, Hyderabad - TSPCB",17.417094,78.457437,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,13,,3,59,12,28,,,,,,Realtime
Hyderabad,,"Central University, Hyderabad - TSPCB",17.460103,78.334361,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,15,18,,13,,2,7,5,10,,,,,,Realtime
Agra,,"Shahjahan Garden, Agra - UPPCB",27.169338,78.03582,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,74,58,,16,,1,20,45,1,,,,,,Realtime
Agra,,"Rohta, Agra - UPPCB",27.106972,78.000111,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,37,,13,,5,15,6,14,,,,,,Realtime
Agra,,"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,93,100,,7,,,24,12,7,,,,,,Realtime
Agra,,"Shastripuram, Agra - UPPCB",27.19862,77.92066,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,32,31,,18,,3,13,12,39,,,,,,Realtime
Agra,,"Sector-3B Avas Vikas Colony, Agra - UPPCB",27.19412,77.96237,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,35,49,,28,,7,10,15,15,,,,,,Realtime
Baghpat,,"Sardar Patel Inter College, Baghpat - UPPCB",28.964949,77.278761,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,12,,2,16,10,21,,,,,,Realtime
Bareilly,,"Rajendra Nagar, Bareilly - UPPCB",28.38910936,79.42963708,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,10,,1,17,1,13,,,,,,Realtime
Bareilly,,"Civil Lines, Bareilly - UPPCB",28.359581,79.414455,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,9,,3,29,,41,,,,,,Realtime
Firozabad,,"Nagla Bhau, Firozabad - UPPCB",27.168897,78.37696,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,24,,11,,,,,,Realtime
Firozabad,,"Vibhab Nagar, Firozabad - UPPCB",27.1594,78.3953,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,22,31,,14,,6,7,1,0,,,,,,Realtime
Ghaziabad,,"Indirapuram, Ghaziabad - UPPCB",28.646233,77.358075,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,19,33,,28,,12,67,18,20,,,,,,Realtime
Ghaziabad,,"Govindpuram, Ghaziabad - UPPCB",28.694528,77.494705,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,9,12,,11,,5,28,2,31,,,,,,Realtime
Ghaziabad,,"Sanjay Nagar, Ghaziabad - UPPCB",28.685382,77.453839,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,26,24,,24,,9,33,5,27,,,,,,Realtime
Ghaziabad,,"Vasundhara, Ghaziabad - UPPCB",28.6603346,77.3572563,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,21,20,,25,,12,60,7,24,,,,,,Realtime
Gorakhpur,,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",26.730136,83.433859,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,75,,11,,1,5,41,18,,,,,,Realtime
Greater Noida,,"Knowledge Park - V, Greater Noida - UPPCB",28.557054,77.453663,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,15,36,,28,,9,16,8,25,,,,,,Realtime
Greater Noida,,"Knowledge Park - III, Greater Noida - UPPCB",28.47272,77.482,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,9,20,,25,,11,26,5,19,,,,,,Realtime
Hapur,,"Anand Vihar, Hapur - UPPCB",28.725645,77.749675,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,6,13,,11,,1,15,8,8,,,,,,Realtime
Lucknow,,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,29,,28,,11,37,6,35,,,,,,Realtime
Mathura,,"Pali Dungra, Mathura - UPPCB",27.410954,77.550619,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,1,,1,16,1,19,,,,,,Realtime
Meerut,,"Jai Bhim Nagar, Meerut - UPPCB",28.9535882,77.7622941,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,20,,10,,9,85,10,29,,,,,,Realtime
Meerut,,"Ganga Nagar, Meerut - UPPCB",28.999264,77.7590354,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,11,30,,25,,9,36,18,34,,,,,,Realtime
Moradabad,,"Transport Nagar, Moradabad - UPPCB",28.802625,78.753728,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,30,,24,,5,45,18,32,,,,,,Realtime
Moradabad,,"Eco Herbal Park, Moradabad - UPPCB",28.840739,78.697531,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,38,44,,20,,10,15,8,27,,,,,,Realtime
Moradabad,,"Employment Office, Moradabad - UPPCB",28.88528,78.7388,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,42,37,,23,,3,16,28,24,,,,,,Realtime
Moradabad,,"Buddhi Vihar, Moradabad - UPPCB",28.83526,78.7446,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,35,,29,,5,33,24,30,,,,,,Realtime
Moradabad,,"Kashiram Nagar, Moradabad - UPPCB",28.849399,78.742362,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,22,40,,24,,4,31,91,10,,,,,,Realtime
Varanasi,,"Bhelupur, Varanasi - UPPCB",25.301778,82.996789,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,17,42,,8,,1,10,28,5,,,,,,Realtime
Varanasi,,"IESD Banaras Hindu University, Varanasi - UPPCB",25.262326,82.995408,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,14,34,,2,,9,3,,5,,,,,,Realtime
Varanasi,,"Ardhali Bazar, Varanasi - UPPCB",25.3505986,82.9083074,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,52,65,,41,,,17,12,26,,,,,,Realtime
Dehradun,,"Doon University, Dehradun - UKPCB",30.269444,78.044167,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,12,16,,2,,,14,1,4,,,,,,Realtime
Rishikesh,,"Shivaji Nagar, Rishikesh - UKPCB",30.075911,78.2859547,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,2,13,,7,,,37,1,9,,,,,,Realtime
Asansol,,"Mahabir Colliery, Asansol - WBPCB",23.618183,87.105718,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,34,,2,,0,40,8,15,,,,,,Realtime
Asansol,,"Evelyn Lodge, Asansol - WBPCB",23.697936,86.944395,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,17,27,,14,,4,6,76,22,,,,,,Realtime
Hyderabad,,"New Malakpet, Hyderabad - TSPCB",17.37206,78.50864,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,34,53,,14,,3,37,10,26,,,,,,Realtime
Hyderabad,,"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,34,36,,7,,2,23,2,23,,,,,,Realtime
Hyderabad,,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",17.429398,78.569354,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,42,58,,14,,3,21,10,25,,,,,,Realtime
Hyderabad,,"IITH Kandi, Hyderabad - TSPCB",17.585705,78.126199,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,37,57,,15,,3,32,11,26,,,,,,Realtime
Hyderabad,,"ECIL Kapra, Hyderabad - TSPCB",17.470431,78.566959,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,33,53,,14,,4,23,7,34,,,,,,Realtime
Hyderabad,,"Kompally Municipal Office, Hyderabad - TSPCB",17.544899,78.486949,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,36,58,,16,,3,21,11,25,,,,,,Realtime
Hyderabad,,"Sanathnagar, Hyderabad - TSPCB",17.4559458,78.4332152,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,25,,,38,,,36,9,16,,,,,,Realtime
Agra,,"Manoharpur, Agra - UPPCB",27.23711,78.01936,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,21,,5,,,,,,Realtime
Muzaffarnagar,,"New Mandi, Muzaffarnagar - UPPCB",29.4723508,77.7194031,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,34,,27,,2,33,14,28,,,,,,Realtime
Noida,,"Sector - 125, Noida - UPPCB",28.5447608,77.3231257,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,19,,60,,21,55,5,14,,,,,,Realtime
Noida,,"Sector-116, Noida - UPPCB",28.56923,77.393848,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,52,25,21,,,,,,Realtime
Noida,,"Sector - 62, Noida - IITM",28.6245479,77.3577104,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,17,19,,14,,,14,,32,,,,,,Realtime
Prayagraj,,"Jhunsi, Prayagraj - UPPCB",25.425602,81.917152,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,22,24,,6,,6,14,18,49,,,,,,Realtime
Raebareli,,"Anand Nagar, Raebareli - UPPCB",26.219512,81.237648,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,40,57,,16,,11,83,14,56,,,,,,Realtime
Raebareli,,"Indira Nagar, Raebareli - NTPC Unchahar",26.207781,81.245571,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,44,,9,,,,,,Realtime
Asansol,,"Asansol Court Area, Asansol - WBPCB",23.685297,86.945968,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,44,38,,30,,3,28,12,32,,,,,,Realtime
Asansol,,"Trivenidevi Bhalotia College, Asansol - WBPCB",23.616515,87.119133,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,19,19,,7,,5,38,30,8,,,,,,Realtime
Barrackpore,,"SVSPA Campus, Barrackpore - WBPCB",22.7605581,88.3617589,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,37,51,,14,,6,38,11,8,,,,,,Realtime
Durgapur,,"PCBL Residential Complex, Durgapur - WBPCB",23.508764,87.35444,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,30,,63,,2,20,11,2,,,,,,Realtime
Durgapur,,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",23.567923,87.306843,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,37,52,,5,,3,,17,29,,,,,,Realtime
Durgapur,,"Womens College_City Center, Durgapur - WBPCB",23.549395,87.300496,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,38,64,,36,,2,33,12,19,,,,,,Realtime
Haldia,,"Priyambada Housing Estate, Haldia - WBPCB",22.06047,88.109737,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,50,,15,,4,30,13,21,,,,,,Realtime
