city,state,station,latitude,longitude,pollution_date,year,month,quarter,season,pm25,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket,source
Howrah,,"Botanical Garden, Howrah - WBPCB",22.554954,88.292568,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,41,62,,13,,2,15,9,11,,,,,,Realtime
Howrah,,"Dasnagar, Howrah - WBPCB",22.6025571,88.3105664,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,35,49,,6,,1,31,11,41,,,,,,Realtime
Kolkata,,"Victoria, Kolkata - WBPCB",22.5448082,88.3403691,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,80,96,,23,,8,26,14,57,,,,,,Realtime
Kolkata,,"Fort William, Kolkata - WBPCB",22.55664,88.342674,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,37,39,,20,,9,15,5,27,,,,,,Realtime
Kolkata,,"Rabindra Sarobar, Kolkata - WBPCB",22.51106,88.35142,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,39,,23,,7,23,7,7,,,,,,Realtime
Kolkata,,"Ballygunge, Kolkata - WBPCB",22.5367507,88.3638022,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,44,39,,23,,7,12,6,27,,,,,,Realtime
Kolkata,,"Rabindra Bharati University, Kolkata - WBPCB",22.627847,88.380669,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,46,,59,,7,45,9,20,,,,,,Realtime
Muzaffarpur,,"Buddha Colony, Muzaffarpur - BSPCB",26.11442,85.39813,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,62,57,,21,,7,18,4,32,,,,,,Realtime
Patna,,"Govt. High School Shikarpur, Patna - BSPCB",25.592539,85.227158,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,71,70,,12,,6,64,13,73,,,,,,Realtime
Patna,,"Rajbansi Nagar, Patna - BSPCB",25.599486,85.113666,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,30,42,,30,,3,39,8,28,,,,,,Realtime
Korba,,"Urja Nagar, Korba - CECB",22.348441,82.549611,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,16,23,,6,,1,25,11,2,,,,,,Realtime
Guwahati,,"IITG, Guwahati - PCBA",26.2028636,91.70046436,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,22,,2,,5,6,39,8,,,,,,Realtime
Nagaon,,"Christianpatty, Nagaon - PCBA",26.349082,92.68449,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,58,51,,1,,4,17,10,9,,,,,,Realtime
Hajipur,,"Industrial Area, Hajipur - BSPCB",25.697189,85.2459,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,59,55,,10,,15,44,8,34,,,,,,Realtime
Kishanganj,,"SDM Office_Khagra, Kishanganj - BSPCB",26.0881305,87.93840336,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,61,64,,7,,3,14,10,33,,,,,,Realtime
Manguraha,,"Forest Rest House, Manguraha - BSPCB",27.308328,84.531742,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,1,31,17,31,,,,,,Realtime
Motihari,,"Gandak Colony, Motihari - BSPCB",26.63086,84.90051,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,12,,57,,,,,,Realtime
Sivasagar,,"Girls College, Sivasagar - PCBA",26.987634,94.636574,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,13,16,,10,,7,19,8,30,,,,,,Realtime
Vijayawada,,"Rajiv Nagar, Vijayawada - APPCB",16.554731,80.64911,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,64,65,,20,,5,21,17,23,,,,,,Realtime
Vijayawada,,"Rajiv Gandhi Park, Vijayawada - APPCB",16.509717,80.612222,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,64,66,,21,,5,25,15,40,,,,,,Realtime
Buxar,,"Charitra Van, Buxar - BSPCB",25.56752,83.966379,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,46,39,,10,,3,25,33,38,,,,,,Realtime
Gaya,,"SFTI Kusdihra, Gaya - BSPCB",24.762518,84.982348,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,36,,23,,5,19,9,26,,,,,,Realtime
Anantapur,,"Gulzarpet, Anantapur - APPCB",14.675886,77.593027,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,114,104,,15,,2,27,11,39,,,,,,Realtime
Delhi,,"Sirifort, Delhi - CPCB",28.5504249,77.2159377,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,19,,7,11,20,11,,,,,,Realtime
Delhi,,"Mandir Marg, Delhi - DPCC",28.636429,77.201067,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,19,46,,,,6,91,12,13,,,,,,Realtime
Delhi,,"Pusa, Delhi - DPCC",28.639652,77.146275,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,18,36,,28,,10,88,12,7,,,,,,Realtime
Ahmedabad,,"SVPI Airport Hansol, Ahmedabad - IITM",23.076793,72.627874,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,41,99,,21,,5,31,4,15,,,,,,Realtime
Ahmedabad,,"Rakhial, Ahmedabad - IITM",23.016834,72.625775,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,60,93,,12,,7,85,13,5,,,,,,Realtime
Charkhi Dadri,,"Mini Secretariat, Charkhi Dadri - HSPCB",28.593883,76.270653,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,70,45,,15,,6,13,10,31,,,,,,Realtime
Dharuhera,,"Municipal Corporation Office, Dharuhera -  HSPCB",28.2068,76.7997,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,58,55,,30,,7,72,11,35,,,,,,Realtime
Delhi,,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,33,49,,14,,42,34,7,21,,,,,,Realtime
Gandhinagar,,"IIPHG Lekawada, Gandhinagar - IITM",23.243639,72.68994,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,38,,,7,,1,34,21,3,,,,,,Realtime
Vapi,,"Phase-1 GIDC, Vapi - GPCB",20.362421,72.918013,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,40,51,,16,,4,,12,14,,,,,,Realtime
Delhi,,"DTU, Delhi - CPCB",28.7500499,77.1112615,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,20,,20,,5,24,33,18,,,,,,Realtime
Gurugram,,"Sector-51, Gurugram - HSPCB",28.4227,77.0667,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,188,118,,31,,10,14,7,27,,,,,,Realtime
Delhi,,"Najafgarh, Delhi - DPCC",28.570173,76.933762,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,31,,18,,7,35,8,21,,,,,,Realtime
Bengaluru,,"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,109,,31,,,59,15,,,,,,,Realtime
Bengaluru,,"Hebbal, Bengaluru - KSPCB",13.029152,77.585901,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,9,26,,19,,2,22,14,44,,,,,,Realtime
Chikkamagaluru,,"Kalyana Nagara, Chikkamagaluru - KSPCB",13.328028,75.797056,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,22,38,,17,,3,34,1,41,,,,,,Realtime
Dharwad,,"Kalabhavan, Dharwad - KSPCB",15.459706,75.008381,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,47,62,,24,,6,36,8,30,,,,,,Realtime
Gadag,,"Panchal Nagar, Gadag - KSPCB",15.411456,75.638133,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,23,35,,1,,4,20,31,20,,,,,,Realtime
Bengaluru,,"BWSSB Kadabesanahalli, Bengaluru - CPCB",12.9352049,77.6814488,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,60,54,,3,,1,37,4,22,,,,,,Realtime
Indore,,"Chhoti Gwaltoli, Indore - MPPCB",22.431,75.5213,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,42,84,,69,,5,31,22,24,,,,,,Realtime
Indore,,"Airport Area, Indore - IMC",22.7289,75.8076,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,65,60,,72,,0,39,7,5,,,,,,Realtime
Jabalpur,,"Govindh Bhavan Colony, Jabalpur - JMC",23.163174,79.973061,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,228,218,,10,,3,15,2,34,,,,,,Realtime
Jabalpur,,"Suhagi, Jabalpur - JMC",23.218135,79.95777,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,55,,6,,,,,,Realtime
Katni,,"Gole Bazar, Katni - MPPCB",23.50016,80.23284,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,47,75,,13,,2,34,25,22,,,,,,Realtime
Sirsa,,"F-Block, Sirsa - HSPCB",29.5364,75.0158,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,18,24,,19,,13,56,22,62,,,,,,Realtime
Srinagar,,"Khunmoh, Srinagar - JKPCC",34.06313,74.96017,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,20,49,,13,,,,5,,,,,,,Realtime
Dewas,,"Bhopal Chauraha, Dewas - MPPCB",22.9682591,76.064118,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,57,92,,84,,3,35,27,14,,,,,,Realtime
Thiruvananthapuram,,"Plammoodu, Thiruvananthapuram - Kerala PCB",8.5149093,76.9435879,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,19,28,,,,0,24,15,13,,,,,,Realtime
Bhopal,,"T T Nagar, Bhopal - MPPCB",23.233584,77.400574,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,41,85,,14,,5,37,22,16,,,,,,Realtime
Hubballi,,"Lingaraj Nagar, Hubballi - KSPCB",15.3714823,75.1160168,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,33,49,,9,,2,15,2,29,,,,,,Realtime
Ambernath,,"Chinchpada, Ambernath - MPCB",19.215784,73.199781,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,46,,,20,,3,10,7,8,,,,,,Realtime
Badlapur,,"Katrap, Badlapur - MPCB",19.16485,73.23409,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,28,51,,16,,7,18,3,25,,,,,,Realtime
Bhiwandi,,"Gokul Nagar, Bhiwandi - MPCB",19.309073,73.057223,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,25,41,,25,,7,18,4,30,,,,,,Realtime
Nanded,,"Sneh Nagar, Nanded - MPCB",19.173852,77.296291,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,23,35,,8,,4,24,2,40,,,,,,Realtime
Nashik,,"MIDC Ambad, Nashik - MPCB",19.95022,73.73148,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,42,75,,3,,2,11,2,17,,,,,,Realtime
Navi Mumbai,,"Sector-2E Kalamboli, Navi Mumbai - MPCB",19.02579,73.10297,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,52,,8,,4,16,3,13,,,,,,Realtime
Mumbai,,"Mindspace-Malad West, Mumbai - MPCB",19.1878657,72.8304069,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,10,,48,,,,,,Realtime
Mumbai,,"Bandra Kurla Complex, Mumbai - IITM",19.053536,72.84643,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,16,104,,5,,3,9,,18,,,,,,Realtime
Mumbai,,"Borivali East, Mumbai - IITM",19.23241,72.86895,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,40,68,,22,,9,47,,50,,,,,,Realtime
Mumbai,,"Powai, Mumbai - MPCB",19.1375,72.915056,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,6,,,,15,,,,,,,Realtime
Mumbai,,"Kherwadi_Bandra East, Mumbai - MPCB",19.0632143,72.8456324,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,45,,8,,4,12,3,23,,,,,,Realtime
Dombivli,,"Kalu Nagar, Dombivli - MPCB",19.2268427,73.0788456,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,9,20,,11,,1,9,4,14,,,,,,Realtime
Hingoli,,"Ashta Vinayak Nagar, Hingoli - MPCB",19.710842,77.151824,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,28,38,,9,,1,16,5,30,,,,,,Realtime
Kalyan,,"Pimpleshwar Mandir, Kalyan - MPCB",19.192056,72.9585188,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,33,56,,7,,16,48,11,16,,,,,,Realtime
Kolhapur,,"Shivaji University, Kolhapur - MPCB",16.6870449,74.2505872,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,20,,,,,3,,,7,,,,,,Realtime
Pithampur,,"Sector-2 Industrial Area, Pithampur - MPPCB",22.624758,75.675238,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,72,66,,,,,29,,42,,,,,,Realtime
Singrauli,,"Suryakiran Bhawan NCL, Singrauli - MPPCB",24.10897,82.64558,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,22,,17,,,,,,Realtime
Mira-Bhayandar,,"Bhayandar West, Mira-Bhayandar - MPCB",19.296481,72.840923,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,35,,2,,4,14,3,13,,,,,,Realtime
Mumbai,,"Sion, Mumbai - MPCB",19.047,72.8746,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,38,,6,18,,,,,,,,Realtime
Jaipur,,"Adarsh Nagar, Jaipur - RSPCB",26.902909,75.836858,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,50,63,,23,,5,32,24,49,,,,,,Realtime
Jaipur,,"Mansarovar Sector-12, Jaipur - RSPCB",26.843698,75.766894,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,35,77,,16,,9,27,4,9,,,,,,Realtime
Jodhpur,,"Mandor, Jodhpur - RSPCB",26.358805,73.047444,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,52,105,,10,,6,16,4,19,,,,,,Realtime
Brajrajnagar,,"GM Office, Brajrajnagar - OSPCB",21.8004996,83.8396977,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,25,35,,24,,5,24,24,45,,,,,,Realtime
Rourkela,,"Sector-2, Rourkela - OSPCB",22.245,84.88111111,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,50,34,,11,,,20,,,,,,,,Realtime
Jodhpur,,"Jhalamand, Jodhpur - RSPCB",26.215415,73.070156,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,50,88,,7,,13,12,1,28,,,,,,Realtime
Kota,,"Nayapura, Kota - RSPCB",25.196024,75.855668,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,46,84,,16,,4,20,12,38,,,,,,Realtime
Baripada,,"Meher Colony, Baripada - OSPCB",21.941841,86.728318,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,39,73,,11,,2,30,7,48,,,,,,Realtime
Banswara,,"Rati Talai, Banswara - RSPCB",23.55519,74.44001,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,104,131,,20,,2,13,7,28,,,,,,Realtime
Baran,,"Bamboliya, Baran - RSPCB",25.106006,76.469948,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,55,66,,17,,5,47,10,39,,,,,,Realtime
Bharatpur,,"Krishna Nagar, Bharatpur - RSPCB",27.215415,77.50873,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,12,21,,10,,15,,2,42,,,,,,Realtime
Bhiwadi,,"RIICO Ind. Area III, Bhiwadi - RSPCB",28.194909,76.862296,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,72,80,,35,,10,32,12,18,,,,,,Realtime
Jalandhar,,"Civil Line, Jalandhar - PPCB",31.321907,75.578914,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,35,53,,34,,5,51,19,45,,,,,,Realtime
Mandi Gobindgarh,,"RIMT University, Mandi Gobindgarh - PPCB",30.649961,76.331442,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,65,108,,25,,5,100,19,39,,,,,,Realtime
Dausa,,"Khatikan Mohalla, Dausa - RSPCB",26.895552,76.334753,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,31,106,,24,,9,61,2,24,,,,,,Realtime
Hanumangarh,,"Housing Board, Hanumangarh - RSPCB",29.61075,74.283608,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,10,36,,6,,11,26,9,18,,,,,,Realtime
Jaipur,,"Police Commissionerate, Jaipur - RSPCB",26.9164092,75.7994901,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,58,62,,17,,9,48,18,22,,,,,,Realtime
Solapur,,"Ratandeep Housing Society, Solapur - MPCB",17.65439,75.90649,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,39,,18,,4,19,3,20,,,,,,Realtime
Solapur,,"Dnyaneshwar Nagar, Solapur - MPCB",17.6336264,75.9132495,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,17,27,,9,,9,11,1,23,,,,,,Realtime
Sri Ganganagar,,"Old City, Sri Ganganagar - RSPCB",29.931624,73.864511,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,37,54,,22,,4,35,4,,,,,,,Realtime
Varanasi,,"Maldahiya, Varanasi - UPPCB",25.32393,82.99687,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,25,,3,,,,,,Realtime
Vrindavan,,"Omex Eternity, Vrindavan - UPPCB",27.571409,77.655757,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,26,,27,,8,20,33,16,,,,,,Realtime
Dindigul,,"Mendonsa Colony, Dindigul - TNPCB",10.358535,77.984321,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,8,,,,,,,,Realtime
Hyderabad,,"Kokapet, Hyderabad - TSPCB",17.393559,78.339194,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,43,57,,12,,2,32,9,25,,,,,,Realtime
Agartala,,"Bardowali, Agartala - Tripura SPCB",23.8175497,91.2726974,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,33,,17,,,,,,Realtime
Lucknow,,"B R Ambedkar University, Lucknow - UPPCB",26.766433,80.927299,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,30,34,,11,,3,23,48,54,,,,,,Realtime
Chennai,,"Perungudi, Chennai - TNPCB",12.9533,80.2357,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,56,103,,5,,0,25,5,4,,,,,,Realtime
Prayagraj,,"Nagar Nigam, Prayagraj - UPPCB",25.44919916,81.82735986,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,14,23,,5,,23,19,30,22,,,,,,Realtime
Prayagraj,,"Motilal Nehru NIT, Prayagraj - UPPCB",25.494,81.863,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,17,115,,12,,8,8,30,20,,,,,,Realtime
Meerut,,"MIET College, Meerut - UPPCB",28.972677,77.641018,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,14,32,,9,,5,48,1,21,,,,,,Realtime
Moradabad,,"Jigar Colony, Moradabad - UPPCB",28.856664,78.772638,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,23,29,,25,,6,40,45,19,,,,,,Realtime
Bulandshahr,,"Yamunapuram, Bulandshahr - UPPCB",28.406963,77.849831,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,12,12,,9,,10,42,7,9,,,,,,Realtime
Howrah,,"Padmapukur, Howrah - WBPCB",22.5687319,88.2797276,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,53,,30,,7,59,10,11,,,,,,Realtime
Howrah,,"Belur Math, Howrah - WBPCB",22.629801,88.352017,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,41,63,,43,,4,23,7,8,,,,,,Realtime
Kolkata,,"Jadavpur, Kolkata - WBPCB",22.49929,88.36917,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,50,54,,19,,14,24,5,10,,,,,,Realtime
Kolkata,,"Bidhannagar, Kolkata - WBPCB",22.58157048,88.41002457,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,30,60,,14,,5,37,10,125,,,,,,Realtime
Siliguri,,"Ward-32 Bapupara, Siliguri - WBPCB",26.6879226,88.4152495,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,16,21,,164,,15,29,13,24,,,,,,Realtime
Chhapra,,"Darshan Nagar, Chhapra - BSPCB",25.7808257,84.7446768,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,57,100,,2,,3,93,21,4,,,,,,Realtime
Bilaspur,,"Mangala, Bilaspur - NTPC",22.08815,82.13737,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,17,,,,,,,,Realtime
Delhi,,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,17,21,,15,,6,27,8,14,,,,,,Realtime
Delhi,,"Okhla Phase-2, Delhi - DPCC",28.530785,77.271255,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,23,,,19,,10,24,10,16,,,,,,Realtime
Rohtak,,"MD University, Rohtak - HSPCB",28.52123,76.37138,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,28,51,,10,,,35,11,34,,,,,,Realtime
Jabalpur,,"Gupteshwar, Jabalpur - JMC",23.142888,79.916147,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,34,73,,20,,2,28,6,8,,,,,,Realtime
Chikkaballapur,,"Chikkaballapur Rural, Chikkaballapur - KSPCB",13.428828,77.731418,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,25,49,,3,,1,35,18,38,,,,,,Realtime
Chandrapur,,"Chauhan Colony, Chandrapur - MPCB",19.9629,79.298714,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,46,,16,,2,49,21,16,,,,,,Realtime
Jalna,,"Old MIDC, Jalna - MPCB",19.854616,75.905894,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,32,45,,19,,4,15,10,40,,,,,,Realtime
Mumbai,,"Byculla, Mumbai - BMC",18.9767,72.838,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,17,63,,14,,2,18,7,6,,,,,,Realtime
Jaipur,,"RIICO Sitapura, Jaipur - RSPCB",26.786682,75.827928,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,43,67,,23,,2,27,3,15,,,,,,Realtime
Alwar,,"Moti Doongri, Alwar - RSPCB",27.554793,76.611536,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,67,,73,,9,55,43,27,,,,,,Realtime
Karauli,,"Satyawati Vihar, Karauli - RSPCB",26.506177,77.025989,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,27,31,,37,,6,10,,59,,,,,,Realtime
Khairthal,,"New Anaj Mandi, Khairthal - RSPCB",27.8015617,76.6365217,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,6,,4,17,4,28,,,,,,Realtime
Bikaner,,"MM Ground, Bikaner - RSPCB",28.018792,73.292658,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,24,88,,16,,7,27,3,50,,,,,,Realtime
Sangli,,"Vijay Nagar, Sangli - MPCB",16.5038,74.3623,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,18,36,,7,,2,15,5,24,,,,,,Realtime
Howrah,,"Ghusuri, Howrah - WBPCB",22.611968,88.347422,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,53,75,,56,,3,26,8,13,,,,,,Realtime
